org_id,pwsid,supplier_name,year,avg_shortage_level,data_type
816,"CA0910001,CA0910017,CA0910018",el dorado irrigation district,2022,2.0,Actual
821,CA1910038,city of el monte,2022,3.0,Actual
827,CA1910040,city of el segundo,2022,1.6,Actual
830,CA3010079,el toro water district,2022,2.0,Actual
835,CA3410008,elk grove water district,2022,0.0,Actual
842,CA3310012,elsinore valley municipal water district,2022,1.7,Actual
851,CA3710006,city of escondido,2022,1.0,Actual
856,CA4110021,estero municipal improvement district,2022,1.7,Actual
859,CA1210004,city of eureka,2022,1.4,Actual
863,CA5410003,city of exeter,2022,0.0,Actual
866,CA3410009,fair oaks water district,2022,1.8,Actual
867,CA4810003,city of fairfield,2022,1.2,Actual
873,CA3710008,fallbrook public utility district,2022,1.8,Actual
890,CA5610002,city of fillmore,2022,2.5,Actual
904,"CA3410014,CA3410030",city of folsom,2022,2.0,Actual
920,CA1210006,city of fortuna,2022,2.1,Actual
924,CA3010069,city of fountain valley,2022,1.4,Actual
934,CA1010007,city of fresno,2022,2.0,Actual
967,CA3010010,city of fullerton,2022,1.3333333333333333,Actual
972,CA3410011,city of galt,2022,0.0,Actual
977,CA3010062,city of garden grove,2022,1.8,Actual
990,CA0910013,georgetown divide public utility district,2022,1.6,Actual
995,CA4310004,city of gilroy,2022,3.0,Actual
1004,CA1910043,city of glendale,2022,3.0,Actual
1005,CA1910044,city of glendora,2022,2.4,Actual
1029,CA1910004,golden state water company - artesia,2022,2.0,Actual
1030,CA3610043,golden state water company - barstow,2022,2.0,Actual
1031,CA0710002,golden state water company - bay point,2022,2.0,Actual
1032,CA1910011,golden state water company - bell-bell gardens,2022,2.0,Actual
1034,CA1910024,golden state water company - claremont,2022,2.0,Actual
1036,CA3410015,golden state water company - cordova,2022,2.0,Actual
1038,CA1910030,golden state water company - culver city,2022,2.0,Actual
1041,CA1910077,golden state water company - florence graham,2022,2.0,Actual
1049,CA1910098,golden state water company - norwalk,2022,2.0,Actual
1052,CA4210016,golden state water company - orcutt,2022,2.0,Actual
1053,CA3010035,golden state water company - placentia,2022,2.0,Actual
1054,CA1910142,golden state water company - san dimas,2022,2.0,Actual
1057,CA5610059,golden state water company - simi valley,2022,2.0,Actual
1058,CA1910212,golden state water company - south arcadia,2022,2.0,Actual
1059,CA1910223,golden state water company - south san gabriel,2022,2.0,Actual
1060,CA1910155,golden state water company - southwest,2022,2.0,Actual
1062,CA3010022,golden state water company - west orange,2022,2.0,Actual
1068,CA4210004,goleta water district,2022,1.0,Actual
1083,CA4310022,great oaks water company incorporated,2022,2.0,Actual
1093,CA2710008,city of greenfield,2022,1.2,Actual
1094,CA1510024,greenfield county water district,2022,0.9,Actual
1109,CA5510009,groveland community services district,2022,2.0,Actual
1110,CA4010004,city of grover beach,2022,1.5,Actual
1125,CA1610003,city of hanford,2022,1.0,Actual
1142,CA1910047,city of hawthorne,2022,1.8,Actual
1143,CA0110006,city of hayward,2022,1.5555555555555556,Actual
1144,CA4910005,city of healdsburg,2022,2.0,Actual
1154,CA3710010,helix water district,2022,1.2,Actual
1157,CA3310016,city of hemet,2022,1.6,Actual
1166,CA3610024,hesperia water district,2022,2.0,Actual
1167,CA3610073,hi desert water district,2022,1.7,Actual
1181,CA4110016,hillsborough town of,2022,2.0,Actual
1188,CA3510001,city of hollister,2022,2.0,Actual
1210,CA1210009,humboldt community services district,2022,1.6,Actual
1215,CA3010053,city of huntington beach,2022,1.6,Actual
